s.no,Compound_ID,Docking_Score
1,Acacetin,-7.298
2,Arctigenin,-7.208
3,Compound 108,-7.433
4,Compound 109,-8.532
5,Compound 111,-7.506
6,Compound 124,-8.337
7,Compound 129,-6.65
8,Compound 133,-9.185
9,Compound 135,-8.166
10,Compound 136,-6.669
11,Compound 138,-7.825
12,Compound 139,-8.283
13,Compound 142,-7.564
14,Compound 144,-7.948
15,Compound 146,-7.419
16,Compound 147,-7.421
17,Compound 151,-7.235
18,Compound 154,-7.387
19,Compound 157,-6.651
20,Compound 163,-7.722
21,Compound 166,-6.634
22,Compound 169,-7.695
23,Compound 172,-7.568
24,Compound 177,-7.388
25,Compound 17,-7.977
26,Compound 180,-7.373
27,Compound 182,-7.391
28,Compound 189,-7.295
29,Compound 193,-7.699
30,Compound 198,-7.325
31,Compound 199,-7.38
32,Compound 200,-7.773
33,Compound 202,-7.323
34,Compound 208,-8.066
35,Compound 211,-7.293
36,Compound 213,-7.384
37,Compound 218,-8.065
38,Compound 219,-7.393
39,Compound 223,-7.273
40,Compound 225,-6.645
41,Compound 228,-7.244
42,Compound 236,-7.604
43,Compound 238,-6.669
44,Compound 240,-7.542
45,Compound 244,-7.454
46,Compound 24,-7.537
47,Compound 251,-7.528
48,Compound 252,-7.495
49,Compound 260,-7.376
50,Compound 262,-7.209
51,Compound 263,-7.369
52,Compound 275,-7.225
53,Compound 278,-7.339
54,Compound 280,-7.214
55,Compound 284,-7.263
56,Compound 287,-7.54
57,Compound 290,-7.262
58,Compound 305,-8.328
59,Compound 316,-7.721
60,Compound 320,-7.236
61,Compound 321,-7.266
62,Compound 331,-7.411
63,Compound 332,-7.223
64,Compound 334,-7.388
65,Compound 335,-6.641
66,Compound 348,-7.535
67,Compound 350,-7.231
68,Compound 351,-7.809
69,Compound 353,-7.455
70,Compound 357,-8.017
71,Compound 35,-6.641
72,Compound 364,-7.261
73,Compound 365,-7.459
74,Compound 369,-7.382
75,Compound 381,-7.236
76,Compound 382,-7.283
77,Compound 385,-7.728
78,Compound 386,-7.244
79,Compound 387,-12.12
80,Compound 391,-8.057
81,Compound 394,-8.685
82,Compound 395,-7.407
83,Compound 39,-7.278
84,Compound 406,-7.318
85,Compound 407,-7.498
86,Compound 408,-7.885
87,Compound 409,-7.886
88,Compound 410,-7.888
89,Compound 416,-7.381
90,Compound 420,-7.57
91,Compound 426,-7.204
92,Compound 436,-7.479
93,Compound 437,-7.456
94,Compound 43,-7.383
95,Compound 448,-7.323
96,Compound 468,-7.765
97,Compound 469,-7.419
98,Compound 470,-7.781
99,Compound 475,-7.351
100,Compound 476,-7.642
101,Compound 477,-7.462
102,Compound 483,-7.243
103,Compound 48,-7.457
104,Compound 491,-7.246
105,Compound 493,-6.64
106,Compound 494,-7.428
107,Compound 497,-7.238
108,Compound 4,-7.247
109,Compound 500,-7.321
110,Compound 503,-7.264
111,Compound 516,-6.666
112,Compound 519,-6.653
113,Compound 520,-8.159
114,Compound 529,-7.24
115,Compound 52,-7.524
116,Compound 531,-7.293
117,Compound 533,-10.56
118,Compound 534,-7.345
119,Compound 542,-7.547
120,Compound 547,-7.65
121,Compound 548,-7.879
122,Compound 553,-7.238
123,Compound 554,-7.271
124,Compound 58,-7.536
125,Compound 59,-7.272
126,Compound 61,-7.256
127,Compound 62,-7.475
128,Compound 69,-7.343
129,Compound 6,-8.076
130,Compound 75,-7.21
131,Compound 79,-7.306
132,Compound 86,-7.626
133,Compound 8,-7.257
134,Compound 93,-7.252
135,Compound 98,-7.228
136,Compound 99,-7.417
137,Marrubiin,-7.556
138,Mosloflavon,-7.273
139,Paulownin,-8.724
